statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;8,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;01;Schleswig-Holstein;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;5,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2017;DLAND;Bundesländer;10;Saarland;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;7,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;03;Niedersachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;17,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;12;Brandenburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;6,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;08;Baden-Württemberg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;10,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;07;Rheinland-Pfalz;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;13,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;8,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;12;Brandenburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,6;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;16;Thüringen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;14,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;10;Saarland;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;5,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;09;Bayern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;6,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;9,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;01;Schleswig-Holstein;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;06;Hessen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;11,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;12;Brandenburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;14;Sachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;20,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;08;Baden-Württemberg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;7,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;8,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;01;Schleswig-Holstein;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;5,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;09;Bayern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;3,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;01;Schleswig-Holstein;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2017;DLAND;Bundesländer;06;Hessen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;12,6;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;04;Bremen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;24,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;09;Bayern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;9,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;07;Rheinland-Pfalz;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;4,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;9,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;09;Bayern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;8,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;16;Thüringen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;17,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;12;Brandenburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;02;Hamburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;16,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2017;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;9,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;9,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;01;Schleswig-Holstein;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;4,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;06;Hessen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;13,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;15;Sachsen-Anhalt;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;18,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;8,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;10;Saarland;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;8,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;12;Brandenburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;10;Saarland;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;4,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;05;Nordrhein-Westfalen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;18,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;8,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;09;Bayern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;6,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;17,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;12;Brandenburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;6,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;02;Hamburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;8,2;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;10;Saarland;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,6;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;03;Niedersachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;16,2;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2017;DLAND;Bundesländer;07;Rheinland-Pfalz;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;13,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;08;Baden-Württemberg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;3,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;10;Saarland;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;5,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;03;Niedersachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;5,2;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;10,6;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;05;Nordrhein-Westfalen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;20,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;14;Sachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;7,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;10;Saarland;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;7,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;05;Nordrhein-Westfalen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;20,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;14;Sachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;17,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;12;Brandenburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;7,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;05;Nordrhein-Westfalen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;18,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;8,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;8,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;14;Sachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;5,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;06;Hessen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;11,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;16;Thüringen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;16,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;03;Niedersachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;5,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2022;DLAND;Bundesländer;08;Baden-Württemberg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;8,2;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;07;Rheinland-Pfalz;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;4,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2017;DLAND;Bundesländer;09;Bayern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;3,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;8,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;9,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;15;Sachsen-Anhalt;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;8,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2017;DLAND;Bundesländer;08;Baden-Württemberg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;8,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;02;Hamburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;16,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;09;Bayern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO06;Frauen;3,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;10;Saarland;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;8,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;07;Rheinland-Pfalz;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;13,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;10,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;01;Schleswig-Holstein;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;5,8;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2019;DLAND;Bundesländer;02;Hamburg;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,5;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2020;DLAND;Bundesländer;04;Bremen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;26,3;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2025;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;9,1;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2024;DLAND;Bundesländer;11;Berlin;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;10,0;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;04;Bremen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;24,9;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2021;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO07;ausländisch;16,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2018;DLAND;Bundesländer;13;Mecklenburg-Vorpommern;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO09;15 bis unter 25 Jahre;9,7;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
13211;Arbeitsmarktstatistik der Bundesagentur für Arbeit;JAHR;Jahr;2023;DLAND;Bundesländer;14;Sachsen;ERWAQ8;Arbeitslosenquote nach Schwerpunkten;ARBEITSQUO05;Männer;6,4;Prozent;ERWP10;Arbeitslosenquote bez. auf alle zivile Erwerbsp.
